1,VE_15,VE_16,VEVE,0.0000,0.0950,-0.2111,0.4138,-0.3007,0.4713,-0.6770,-0.1264,-0.4525,-0.0906,-1.0637,-0.0473,0.0000,0.3000,0.0000,0.0000
2,VE_15,VE_17,VEVE,0.0000,0.6568,0.1139,0.7487,0.1722,0.7855,-0.2858,0.4393,-0.2301,0.1430,-0.1943,0.5714,0.0000,0.6066,0.0000,0.0000
3,VE_15,VE_18,VEVE,0.0000,0.1567,-0.9151,0.4304,-1.0913,0.4281,-0.7398,-0.0409,-0.5869,-0.0858,-0.5781,0.2885,0.0000,0.1567,0.0000,0.0000
4,VE_15,VE_19,VEVE,0.0000,0.0000,-0.1769,0.2366,-0.3722,0.2756,-0.5847,-0.1785,-0.4359,-0.0910,-1.0826,-0.3171,0.0000,0.3224,0.0000,0.0000
5,VE_15,VE_20,VEVE,0.0000,0.0000,-0.8924,0.2109,-0.9053,0.1861,-0.7756,-0.0822,-0.4639,0.0763,-1.1600,-0.2090,0.0000,0.1509,0.0000,0.0000
6,VE_15,VE_21,VEVE,0.0000,0.7767,0.2522,0.8088,-0.0686,0.7689,-0.3522,0.5952,-0.1903,0.3775,-0.6216,0.6742,0.0000,0.7975,0.0000,0.0000
7,VE_15,VE_22,VEVE,0.0000,0.5000,-0.0135,0.6445,0.0373,0.6445,-0.4969,0.3939,-0.3308,0.1074,-0.5158,0.2275,0.0000,0.4956,0.0000,0.0000
8,VE_15,VE_23,VEVE,0.0000,0.6841,-0.5693,0.7560,-0.4783,0.6846,-0.6179,0.8295,-0.4285,0.7899,-0.7368,0.5663,0.0000,0.6926,0.0000,0.0000
9,VE_15,VE_24,VEVE,0.0000,0.5126,0.0501,0.6457,-0.0336,0.6042,-0.4158,0.4293,-0.3649,0.1811,-0.5460,0.5091,0.0000,0.5126,0.0000,0.0000
10,VE_15,VE_25,VEVE,0.0000,0.5000,-0.6854,0.5034,-0.5065,0.5468,-0.5979,0.6652,-0.4138,0.3721,-0.6647,0.2895,0.0000,0.5000,0.0000,0.0000
11,VE_15,VE_26,VEVE,0.0000,0.5000,-0.0085,0.5784,-0.1382,0.5635,-0.4562,0.3807,-0.2893,0.3634,-0.7349,0.3077,0.0000,0.5000,0.0000,0.0000
12,VE_15,VE_27,VEVE,0.0000,0.5000,-0.1261,0.4509,-0.1102,0.5128,-0.1692,0.7524,-0.1263,0.9049,-0.3458,0.1933,0.0000,0.5000,0.0000,0.0000
13,VE_15,VE_28,VEVE,0.0000,0.5000,-0.0148,0.4627,0.0622,0.5317,-0.3871,0.5897,-0.3253,0.3679,-0.4545,0.3617,0.0000,0.5000,0.0000,0.0000
