(1)Parameters in simulations

  SmplSize   NumLoci Constrain KnownAlleleFre
        18         9         1         0

 Number of observed alleles at each locus
  3  4  2  3  3  4  3  2  2

 Allele frequency

 Locus:        1
     127     121     125
  0.8056  0.1667  0.0278

 Locus:        2
     288     286     290     274
  0.7500  0.0833  0.0278  0.1389

 Locus: 3
227 229
0.4722 0.5278

 Locus:        4
     291     307     303
  0.2500  0.4167  0.3333

 Locus:        5
     166     172     160
  0.1111  0.6944  0.1944

 Locus:        6
     257     261     251     249
  0.3056  0.5833  0.0278  0.0833

 Locus:        7
     359     361     355
  0.7222  0.1944  0.0833

 Locus: 8
133 137
0.3333 0.6667

 Locus: 9
247 255
0.7778 0.2222


(2)Point estimate of R for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
105,VE_22,VE_29,0.0000,-8.3328,-0.3514,0.0000
106,VE_22,VE_30,1.0000,2.3636,1.5208,1.0000
107,VE_22,VE_31,0.0000,1.2213,0.4883,0.0000
108,VE_22,VE_32,0.0000,6.2493,-0.2268,0.0000
109,VE_23,VE_24,0.0000,-4.1437,-1.3363,0.0000
110,VE_23,VE_25,0.5741,-1.6459,0.6412,1.0000
111,VE_23,VE_26,0.0000,6.1869,-0.4886,0.0000
112,VE_23,VE_27,0.0081,1.4135,0.3906,0.0081
113,VE_23,VE_28,0.0000,-4.2388,-0.8336,0.0000
114,VE_23,VE_29,0.0000,-4.8487,-0.4014,0.0000
115,VE_23,VE_30,0.0000,-4.2569,-0.8997,0.0000
116,VE_23,VE_31,0.0000,1.7547,-0.0248,0.0000
117,VE_23,VE_32,0.0000,-7.9915,-0.4456,0.0000
118,VE_24,VE_25,0.0000,-4.6930,-1.0514,0.0000
119,VE_24,VE_26,0.0000,2.8682,-0.1466,0.0000
120,VE_24,VE_27,0.0000,7.0684,-1.1640,0.0000
121,VE_24,VE_28,0.0000,-8.0580,-0.2284,0.0000
122,VE_24,VE_29,0.6835,-0.4579,0.1715,0.6835
123,VE_24,VE_30,0.0000,-7.1231,-0.8079,0.0000
124,VE_24,VE_31,0.0352,2.4686,0.0331,0.0354
125,VE_24,VE_32,0.0000,5.9549,-0.2040,0.0000
126,VE_25,VE_26,0.0000,5.7904,0.3987,0.0000
127,VE_25,VE_27,0.0000,3.4771,-0.7119,0.0000
128,VE_25,VE_28,0.0000,-4.5980,-0.5064,0.0000
129,VE_25,VE_29,0.0000,-4.5291,-1.1319,0.0000
130,VE_25,VE_30,0.0000,-3.8181,-1.2237,0.0000
131,VE_25,VE_31,0.0000,2.1934,0.5013,0.0000
132,VE_25,VE_32,0.1332,-9.1978,0.3947,0.2199
133,VE_26,VE_27,0.3228,3.0418,0.6029,0.3318
134,VE_26,VE_28,0.0000,-7.7698,-0.8792,0.0000
135,VE_26,VE_29,1.0000,2.5478,1.3697,1.0000
136,VE_26,VE_30,0.0000,-7.8659,-0.6291,0.0000
137,VE_26,VE_31,0.0000,-1.1790,-0.5789,0.0000
138,VE_26,VE_32,0.0000,5.9897,-0.6309,0.0000
139,VE_27,VE_28,0.0000,-3.4746,-1.4656,0.0000
140,VE_27,VE_29,0.0326,7.0673,0.2925,0.0395
141,VE_27,VE_30,0.0000,-4.5407,-1.0437,0.0000
142,VE_27,VE_31,0.5387,-1.6666,1.3572,0.7106
143,VE_27,VE_32,0.0000,1.5156,-0.2287,0.0000
144,VE_28,VE_29,0.0000,-8.1335,-0.3446,0.0000
145,VE_28,VE_30,0.0000,0.3623,-0.7196,0.0000
146,VE_28,VE_31,0.0000,-8.5517,-1.0011,0.0000
147,VE_28,VE_32,0.3602,6.0500,0.5485,0.4352
148,VE_29,VE_30,0.0000,-7.3546,-0.8768,0.0000
149,VE_29,VE_31,0.0000,2.2947,0.0060,0.0000
150,VE_29,VE_32,0.0000,5.8925,-0.3733,0.0000
151,VE_30,VE_31,0.0000,-8.9140,-0.0433,0.0000
152,VE_30,VE_32,0.0000,5.8418,0.2192,0.0000
153,VE_31,VE_32,0.0000,1.1192,-0.2440,0.0000


  Point estimate of Delta7 for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LREst,MEst
1,VE_15,VE_16,0.0000,-0.3178,-0.0548,0.0000
2,VE_15,VE_17,0.0000,-0.1887,-0.1250,0.0000
3,VE_15,VE_18,0.0000,0.1555,0.0626,0.0000
4,VE_15,VE_19,0.0000,-0.6947,-0.1402,0.0000
5,VE_15,VE_20,0.0000,-0.5525,-0.0517,0.0000
6,VE_15,VE_21,0.0592,0.1124,0.3271,0.2486
7,VE_15,VE_22,0.0000,-0.3965,-0.0977,0.0000
8,VE_15,VE_23,0.0000,0.1375,0.1588,0.1773
9,VE_15,VE_24,0.0000,-0.5460,-0.2544,0.0000
10,VE_15,VE_25,0.0000,-0.1185,0.0118,0.0004
11,VE_15,VE_26,0.0000,-0.3956,-0.1026,0.0000
12,VE_15,VE_27,0.0000,-0.5515,-0.3826,0.0000
13,VE_15,VE_28,0.0000,-0.6670,-0.4016,0.0000
14,VE_15,VE_29,0.0000,-0.4691,-0.2361,0.0000
15,VE_15,VE_30,0.0000,-0.6893,-0.4776,0.0000
16,VE_15,VE_31,0.0013,-0.2812,0.0638,0.0013
17,VE_15,VE_32,0.0000,0.4710,0.4795,0.4869
18,VE_16,VE_17,0.0000,0.1594,0.1532,0.0000
19,VE_16,VE_18,0.0000,0.2548,0.0898,0.0000
20,VE_16,VE_19,0.0000,-0.0678,0.1253,0.1102
21,VE_16,VE_20,0.0000,-0.2995,-0.3584,0.0000
22,VE_16,VE_21,0.0000,-0.5782,-0.2039,0.0000
23,VE_16,VE_22,0.0000,0.0047,0.0986,0.0000
24,VE_16,VE_23,0.0000,0.0656,0.1635,0.0000
25,VE_16,VE_24,0.0000,0.0803,0.1467,0.0000
26,VE_16,VE_25,0.0000,-0.3198,-0.1763,0.0000
27,VE_16,VE_26,0.0000,-0.2817,-0.0420,0.0000
28,VE_16,VE_27,0.0000,-0.4567,-0.1191,0.0000
29,VE_16,VE_28,0.0000,-0.2658,-0.0894,0.0000
30,VE_16,VE_29,0.0000,-0.1671,0.0054,0.0000
31,VE_16,VE_30,0.0359,0.0478,0.0441,0.0359
32,VE_16,VE_31,0.0000,-0.0776,-0.0307,0.0000
33,VE_16,VE_32,0.0000,-0.5166,-0.1086,0.0000
34,VE_17,VE_18,0.0000,0.1600,0.0309,0.0000
35,VE_17,VE_19,0.0290,0.1479,0.1343,0.0290
36,VE_17,VE_20,0.0000,-0.2688,-0.1435,0.0000
37,VE_17,VE_21,0.0000,-0.1038,0.0434,0.0000
38,VE_17,VE_22,0.0000,-0.2110,-0.2205,0.0000
39,VE_17,VE_23,0.0000,-0.3420,-0.3563,0.0000
40,VE_17,VE_24,0.0000,0.1858,0.1609,0.0000
41,VE_17,VE_25,0.0000,0.2295,0.0051,0.0951
42,VE_17,VE_26,0.0000,-0.6004,-0.7215,0.0000
43,VE_17,VE_27,0.0000,-0.0466,-0.1541,0.0000
44,VE_17,VE_28,0.0000,0.0595,0.0252,0.0000
45,VE_17,VE_29,0.3548,0.5104,0.4800,0.2013
46,VE_17,VE_30,0.0000,0.1279,0.0948,0.0000
47,VE_17,VE_31,0.0000,0.0024,0.0005,0.0000
48,VE_17,VE_32,0.0000,-0.5085,-0.3249,0.0000
49,VE_18,VE_19,0.0000,-0.2442,-0.0304,0.0000
50,VE_18,VE_20,0.0000,0.0935,-0.0209,0.0000
51,VE_18,VE_21,0.0000,-0.1150,-0.0405,0.0000
52,VE_18,VE_22,0.0766,0.4860,0.0481,0.3080
53,VE_18,VE_23,0.0822,0.9052,0.1528,0.1463
54,VE_18,VE_24,0.0968,0.4902,0.1359,0.1139
55,VE_18,VE_25,0.0558,0.3372,0.1476,0.0649
56,VE_18,VE_26,0.0000,0.2315,-0.4729,0.0000
57,VE_18,VE_27,0.0000,0.0541,-0.0228,0.0000
58,VE_18,VE_28,0.1201,0.5396,0.0753,0.1373
59,VE_18,VE_29,0.0000,0.2772,0.0689,0.0000
60,VE_18,VE_30,0.0989,0.4902,0.0624,0.1139
61,VE_18,VE_31,0.0000,-0.2421,-0.2233,0.0000
62,VE_18,VE_32,0.0000,0.4321,0.0740,0.0000
63,VE_19,VE_20,0.0164,0.2760,0.0919,0.0164
64,VE_19,VE_21,0.0000,0.1569,0.1371,0.0000
65,VE_19,VE_22,0.0000,0.0056,0.1681,0.0000
66,VE_19,VE_23,0.0000,-0.7872,-0.1408,0.0000
67,VE_19,VE_24,0.0000,0.2709,0.2446,0.0000
68,VE_19,VE_25,0.0000,-0.1762,-0.0793,0.0000
69,VE_19,VE_26,0.0000,-0.5173,-0.1350,0.0000
70,VE_19,VE_27,0.0000,-0.1355,0.0235,0.0000
71,VE_19,VE_28,0.0000,-0.2237,-0.1071,0.0000
72,VE_19,VE_29,0.0000,0.4178,0.3290,0.1360
73,VE_19,VE_30,0.0000,0.0644,-0.0209,0.0000
74,VE_19,VE_31,0.0000,-0.3331,0.0048,0.0000
75,VE_19,VE_32,0.0000,-0.5900,-0.0454,0.0000
76,VE_20,VE_21,0.0000,0.0317,0.1687,0.1834
77,VE_20,VE_22,0.0000,-0.3912,-0.3425,0.0000
78,VE_20,VE_23,0.0000,-0.1063,-0.0036,0.0000
79,VE_20,VE_24,0.0000,0.2589,0.1656,0.0000
80,VE_20,VE_25,0.0000,-0.2106,-0.1442,0.0000
81,VE_20,VE_26,0.0000,0.5904,0.2380,0.1997
82,VE_20,VE_27,0.0000,0.2531,-0.1405,0.0000
83,VE_20,VE_28,0.0000,0.1780,-0.0575,0.0000
84,VE_20,VE_29,0.0000,0.2208,0.2061,0.1395
85,VE_20,VE_30,0.0000,0.7518,0.2564,0.3208
86,VE_20,VE_31,0.0000,0.7287,0.4746,0.4956
87,VE_20,VE_32,0.0000,-0.5989,-0.1367,0.0000
88,VE_21,VE_22,0.0000,-0.8102,-0.4765,0.0000
89,VE_21,VE_23,0.0000,-0.4466,-0.4434,0.0000
90,VE_21,VE_24,0.0000,-0.2738,-0.0836,0.0000
91,VE_21,VE_25,0.0000,0.3923,0.2895,0.0000
92,VE_21,VE_26,0.0000,-0.6662,-0.3264,0.0000
93,VE_21,VE_27,0.0000,-0.1312,-0.1120,0.0000
94,VE_21,VE_28,0.0000,-0.5652,-0.3591,0.0000
95,VE_21,VE_29,0.0000,-0.0808,0.0532,0.0000
96,VE_21,VE_30,0.0000,-0.1051,-0.1228,0.0000
97,VE_21,VE_31,0.0000,-0.0005,0.3724,0.4370
98,VE_21,VE_32,0.0000,-0.1132,-0.2023,0.0000
99,VE_22,VE_23,0.0000,0.1775,0.1033,0.0000
100,VE_22,VE_24,0.0000,0.2624,0.2087,0.2124
101,VE_22,VE_25,0.0000,-0.2917,-0.1431,0.0000
102,VE_22,VE_26,0.0000,0.1105,0.1644,0.0000
103,VE_22,VE_27,0.0000,-0.0527,0.1146,0.0000
104,VE_22,VE_28,0.0000,0.2295,0.0028,0.4162
105,VE_22,VE_29,0.0000,-0.0938,-0.1241,0.0000
106,VE_22,VE_30,0.0000,-0.2050,-0.4304,0.0000
107,VE_22,VE_31,0.0000,-0.6131,-0.4388,0.0000
108,VE_22,VE_32,0.0000,0.1221,0.2462,0.2513
109,VE_23,VE_24,0.0000,0.3521,0.3400,0.0000
110,VE_23,VE_25,0.0000,-0.1169,0.0107,0.0000
111,VE_23,VE_26,0.0622,-0.0102,0.2306,0.0806
112,VE_23,VE_27,0.0000,-0.5160,-0.1936,0.0000
113,VE_23,VE_28,0.0000,0.2311,0.1305,0.0000
114,VE_23,VE_29,0.0000,-0.1538,-0.1358,0.0000
115,VE_23,VE_30,0.0000,0.2089,0.0958,0.0000
116,VE_23,VE_31,0.0000,-0.5129,-0.2738,0.0000
117,VE_23,VE_32,0.0000,0.4246,0.6154,0.3885
118,VE_24,VE_25,0.0000,0.1820,0.2211,0.0000
119,VE_24,VE_26,0.0000,-0.2094,-0.1564,0.0000
120,VE_24,VE_27,0.0000,0.0220,0.1327,0.0000
121,VE_24,VE_28,0.0000,0.5329,0.3662,0.4300
122,VE_24,VE_29,0.0000,0.3030,0.2301,0.0000
123,VE_24,VE_30,0.0000,0.6556,0.4691,0.3825
124,VE_24,VE_31,0.0081,-0.0767,0.0067,0.0080
125,VE_24,VE_32,0.0000,-0.2695,-0.0408,0.0000
126,VE_25,VE_26,0.0000,-0.5989,-0.4098,0.0000
127,VE_25,VE_27,0.0451,0.0864,0.2831,0.0569
128,VE_25,VE_28,0.0000,0.3030,0.2194,0.1210
129,VE_25,VE_29,0.0000,0.3362,0.2819,0.0000
130,VE_25,VE_30,0.0000,0.2998,0.1975,0.0000
131,VE_25,VE_31,0.0000,-0.4219,-0.3923,0.0000
132,VE_25,VE_32,0.0000,0.1071,0.1313,0.2402
133,VE_26,VE_27,0.0000,0.1529,-0.1445,0.0000
134,VE_26,VE_28,0.0000,0.1642,0.0963,0.0000
135,VE_26,VE_29,0.0000,-0.1108,-0.1998,0.0000
136,VE_26,VE_30,0.0000,0.1147,0.0120,0.0000
137,VE_26,VE_31,0.0000,0.0917,0.1196,0.0000
138,VE_26,VE_32,0.0000,-0.3284,-0.0741,0.0000
139,VE_27,VE_28,0.0000,0.5165,0.2811,0.0000
140,VE_27,VE_29,0.0000,0.0953,-0.1217,0.0000
141,VE_27,VE_30,0.0000,0.2284,0.1360,0.0000
142,VE_27,VE_31,0.0000,-0.1214,-0.3893,0.0000
143,VE_27,VE_32,0.0000,-0.3189,-0.0262,0.0000
144,VE_28,VE_29,0.0000,0.1768,0.0833,0.0000
145,VE_28,VE_30,0.1875,0.5399,0.7349,0.3087
146,VE_28,VE_31,0.0000,-0.0438,0.0156,0.0000
147,VE_28,VE_32,0.0000,-0.1485,-0.0504,0.0000
148,VE_29,VE_30,0.0000,0.2451,0.1462,0.0000
149,VE_29,VE_31,0.0000,-0.2779,-0.1456,0.0000
150,VE_29,VE_32,0.0000,-0.4018,-0.1884,0.0000
151,VE_30,VE_31,0.0000,0.4162,0.3428,0.4212
152,VE_30,VE_32,0.0000,-0.4127,-0.2385,0.0000
153,VE_31,VE_32,0.0000,-0.8102,-0.2780,0.0000


(3)R 95%Confidence interval by bootstrapping over loci with #BootsSamples=   100
Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
1,VE_15,VE_16,0.0000,0.0950,-0.2111,0.4138,-0.3007,0.4713,-0.6770,-0.1264,-0.4525,-0.0906,-1.0637,-0.0473,0.0000,0.3000,0.0000,0.0000
2,VE_15,VE_17,0.0000,0.6568,0.1139,0.7487,0.1722,0.7855,-0.2858,0.4393,-0.2301,0.1430,-0.1943,0.5714,0.0000,0.6066,0.0000,0.0000
3,VE_15,VE_18,0.0000,0.1567,-0.9151,0.4304,-1.0913,0.4281,-0.7398,-0.0409,-0.5869,-0.0858,-0.5781,0.2885,0.0000,0.1567,0.0000,0.0000
4,VE_15,VE_19,0.0000,0.0000,-0.1769,0.2366,-0.3722,0.2756,-0.5847,-0.1785,-0.4359,-0.0910,-1.0826,-0.3171,0.0000,0.3224,0.0000,0.0000
5,VE_15,VE_20,0.0000,0.0000,-0.8924,0.2109,-0.9053,0.1861,-0.7756,-0.0822,-0.4639,0.0763,-1.1600,-0.2090,0.0000,0.1509,0.0000,0.0000
6,VE_15,VE_21,0.0000,0.7767,0.2522,0.8088,-0.0686,0.7689,-0.3522,0.5952,-0.1903,0.3775,-0.6216,0.6742,0.0000,0.7975,0.0000,0.0000
7,VE_15,VE_22,0.0000,0.5000,-0.0135,0.6445,0.0373,0.6445,-0.4969,0.3939,-0.3308,0.1074,-0.5158,0.2275,0.0000,0.4956,0.0000,0.0000
8,VE_15,VE_23,0.0000,0.6841,-0.5693,0.7560,-0.4783,0.6846,-0.6179,0.8295,-0.4285,0.7899,-0.7368,0.5663,0.0000,0.6926,0.0000,0.0000
9,VE_15,VE_24,0.0000,0.5126,0.0501,0.6457,-0.0336,0.6042,-0.4158,0.4293,-0.3649,0.1811,-0.5460,0.5091,0.0000,0.5126,0.0000,0.0000
10,VE_15,VE_25,0.0000,0.5000,-0.6854,0.5034,-0.5065,0.5468,-0.5979,0.6652,-0.4138,0.3721,-0.6647,0.2895,0.0000,0.5000,0.0000,0.0000
11,VE_15,VE_26,0.0000,0.5000,-0.0085,0.5784,-0.1382,0.5635,-0.4562,0.3807,-0.2893,0.3634,-0.7349,0.3077,0.0000,0.5000,0.0000,0.0000
12,VE_15,VE_27,0.0000,0.5000,-0.1261,0.4509,-0.1102,0.5128,-0.1692,0.7524,-0.1263,0.9049,-0.3458,0.1933,0.0000,0.5000,0.0000,0.0000
13,VE_15,VE_28,0.0000,0.5000,-0.0148,0.4627,0.0622,0.5317,-0.3871,0.5897,-0.3253,0.3679,-0.4545,0.3617,0.0000,0.5000,0.0000,0.0000
14,VE_15,VE_29,0.0000,0.5302,-0.0017,0.6375,0.0977,0.6632,-0.3408,0.3553,-0.1882,0.2285,-0.3521,0.5000,0.0000,0.5302,0.0000,0.0000
15,VE_15,VE_30,0.0000,0.5000,-0.0728,0.4717,-0.1398,0.4919,-0.4777,0.5247,-0.3751,0.2391,-0.4661,0.4737,0.0000,0.5000,0.0000,0.0000
16,VE_15,VE_31,0.0000,0.6231,0.1208,0.7597,-0.1251,0.7089,-0.4804,0.5254,-0.3018,0.3259,-0.8000,0.5500,0.0000,0.6534,0.0000,0.0000
17,VE_15,VE_32,0.1479,0.9679,0.3177,1.0000,0.1680,1.0000,-0.2025,1.0000,-0.1258,0.6893,-0.5652,1.0000,0.0025,1.0000,0.0000,0.0000
18,VE_16,VE_17,0.0000,0.6940,-0.0019,0.8207,0.1214,0.8058,-0.4633,0.7455,-0.2532,0.5196,-0.2576,0.7989,0.0000,0.6940,0.0000,0.0000
19,VE_16,VE_18,0.0000,0.3806,-0.9599,0.4638,-0.8469,0.5954,-0.5327,0.1761,-0.5300,0.3470,-0.6170,0.5279,0.0000,0.3806,0.0000,0.0000
20,VE_16,VE_19,0.0000,0.7136,-0.5010,0.7427,-0.5498,0.5917,-0.3423,0.6044,-0.3361,0.3912,-0.6579,0.6000,0.0000,0.6826,0.0000,0.0000
21,VE_16,VE_20,0.4275,0.7288,0.1227,0.7788,0.0098,0.7904,0.2427,0.7978,0.1005,0.7492,-0.1053,0.7231,0.1247,0.7288,0.0000,0.0000
22,VE_16,VE_21,0.0000,0.4868,-0.1600,0.5033,-0.1262,0.4936,-0.4749,0.2993,-0.3633,0.1767,-0.6647,0.3077,0.0000,0.5000,0.0000,0.0000
23,VE_16,VE_22,0.0000,0.3814,-0.7528,0.3838,-0.6603,0.5241,-0.6673,0.1443,-0.4243,0.2355,-0.8857,0.4059,0.0000,0.3814,0.0000,0.0000
24,VE_16,VE_23,0.0000,0.0000,-1.0877,0.2427,-1.3088,0.0763,-0.7623,-0.1937,-0.9118,-0.0716,-1.1654,-0.0723,0.0000,0.0000,0.0000,0.0000
25,VE_16,VE_24,0.0000,0.7202,0.0141,0.7323,0.1307,0.7842,-0.3029,0.7212,-0.0646,0.6788,-0.1455,0.7937,0.0000,0.7102,0.0000,0.0000
26,VE_16,VE_25,0.0000,0.2716,-0.5794,0.3763,-0.6424,0.2710,-0.4881,0.3228,-0.4761,0.1708,-0.8165,0.3522,0.0000,0.3382,0.0000,0.0000
27,VE_16,VE_26,0.0000,0.3750,-1.0054,0.3891,-1.1038,0.4582,-0.7356,0.1892,-0.8325,0.1422,-0.8641,0.0171,0.0000,0.3594,0.0000,0.0000
28,VE_16,VE_27,0.0000,0.5000,-0.8193,0.4156,-0.8930,0.4774,-0.4276,0.6874,-0.6236,0.5383,-0.6471,0.2088,0.0000,0.5000,0.0000,0.0000
29,VE_16,VE_28,0.0000,0.2733,-0.8012,0.3344,-0.7140,0.3912,-0.4932,0.1234,-0.5041,0.2863,-0.5158,0.4627,0.0000,0.5000,0.0000,0.0000
30,VE_16,VE_29,0.0000,0.6564,0.0118,0.7525,0.1117,0.7811,-0.3645,0.6404,-0.2558,0.5153,-0.4516,0.7500,0.0000,0.6634,0.0000,0.0000
31,VE_16,VE_30,0.0000,0.7058,-0.6339,0.7327,-0.4713,0.7781,-0.3436,0.7007,-0.4042,0.4827,-0.3880,0.7465,0.0000,0.7008,0.0000,0.0000
32,VE_16,VE_31,0.0000,0.6437,-0.0791,0.7358,0.0538,0.8021,-0.3166,0.5453,-0.2092,0.4111,-0.3012,0.7188,0.0000,0.6437,0.0000,0.0000
33,VE_16,VE_32,0.0000,0.0410,-0.1231,0.4490,-0.4796,0.4761,-0.5122,-0.0228,-0.3859,0.0528,-1.1913,0.2117,0.0000,0.0410,0.0000,0.0000
34,VE_17,VE_18,0.0000,0.5429,-0.9215,0.7782,-0.8719,0.7461,-0.5628,0.6192,-0.4466,0.2467,-0.3784,0.7534,0.0000,0.5429,0.0000,0.0000
35,VE_17,VE_19,0.0000,0.6251,-0.6246,0.7118,-0.5432,0.7498,-0.4569,0.4316,-0.3901,0.5603,-0.7349,0.7293,0.0000,0.6251,0.0000,0.0000
36,VE_17,VE_20,0.0000,0.1081,-1.1838,0.2778,-1.4802,0.3737,-0.9833,0.0288,-0.8915,-0.0302,-0.9688,0.2198,0.0000,0.1081,0.0000,0.0000
37,VE_17,VE_21,0.0000,0.5617,-0.6065,0.6322,-0.7365,0.6506,-0.6851,0.2966,-0.7613,0.1553,-0.6941,0.6087,0.0000,0.5617,0.0000,0.0000
38,VE_17,VE_22,0.0000,0.5000,-0.6906,0.5248,-0.5205,0.5644,-0.6774,0.2511,-0.4592,0.1273,-0.5698,0.5200,0.0000,0.5000,0.0000,0.0000
39,VE_17,VE_23,0.0000,0.5000,-0.6252,0.4233,-0.5797,0.3725,-0.3920,0.5167,-0.3417,0.3522,-0.4305,0.4512,0.0000,0.5000,0.0000,0.0000
40,VE_17,VE_24,0.0000,0.8295,0.1821,0.8863,0.2852,0.8984,-0.3009,0.8654,-0.1405,0.9085,0.0270,0.9086,0.0000,0.8295,0.0000,0.0000
41,VE_17,VE_25,0.0000,0.8356,-0.5548,1.0000,-0.3600,1.0000,-0.3158,1.0000,-0.1952,0.8693,-0.1771,1.0000,0.0000,1.0000,0.0000,0.0000
42,VE_17,VE_26,0.0000,0.5000,-0.0703,0.5080,0.0155,0.5587,-0.3275,0.5052,-0.2458,0.3993,-0.2090,0.5238,0.0000,0.5000,0.0000,0.0000
43,VE_17,VE_27,0.0000,0.3678,-0.9923,0.3580,-1.2200,0.4818,-0.6661,0.3895,-0.9051,0.0892,-0.7657,0.3358,0.0000,0.3678,0.0000,0.0000
44,VE_17,VE_28,0.0000,0.6165,-0.8037,0.6717,-0.6079,0.7474,-0.4286,0.5826,-0.3976,0.7333,-0.2698,0.7465,0.0000,0.6165,0.0000,0.0000
45,VE_17,VE_29,0.0513,0.9014,0.2881,1.0000,0.3275,1.0000,-0.1731,1.0000,-0.1280,0.9360,0.0055,1.0000,0.0000,1.0000,0.0000,0.0000
46,VE_17,VE_30,0.0000,0.5000,-0.9476,0.5806,-0.9248,0.5805,-0.5698,0.2799,-0.8480,0.1278,-0.4934,0.5102,0.0000,0.5000,0.0000,0.0000
47,VE_17,VE_31,0.0000,0.6071,-0.5793,0.7874,-0.6677,0.7978,-0.7063,0.5189,-0.7352,0.1885,-0.5469,0.6571,0.0000,0.6071,0.0000,0.0000
48,VE_17,VE_32,0.0000,0.5000,0.0590,0.5507,-0.0356,0.5989,-0.3259,0.2407,-0.1340,0.2494,-0.2632,0.5365,0.0000,0.5000,0.0000,0.0000
49,VE_18,VE_19,0.0000,0.2091,-1.4213,0.2314,-1.4051,0.3257,-0.5087,0.0586,-0.5482,0.1152,-0.6628,0.2394,0.0000,0.2091,0.0000,0.0000
50,VE_18,VE_20,0.0000,0.3707,-1.2699,0.3468,-1.2993,0.4277,-0.5094,0.2370,-0.5673,0.2885,-0.7528,0.4627,0.0000,0.3197,0.0000,0.0000
51,VE_18,VE_21,0.0000,0.0261,-1.3729,0.2194,-1.2386,0.2670,-0.6917,-0.0400,-0.6742,-0.0636,-0.5709,0.2448,0.0000,0.0000,0.0000,0.0000
52,VE_18,VE_22,0.1139,0.7977,-0.2181,0.8568,-0.2253,0.8980,-0.1539,0.7810,-0.1196,0.5678,0.0491,0.8994,0.0000,0.8535,0.0000,0.0000
53,VE_18,VE_23,0.0000,0.6486,-1.6418,0.8492,-1.7062,0.8873,-0.7713,0.7013,-0.9362,0.6512,-0.7953,0.8577,0.0000,0.7835,0.0000,0.0000
54,VE_18,VE_24,0.0000,0.7887,-0.8790,0.8006,-0.7996,0.7816,-0.3307,0.7828,-0.3613,0.3617,-0.2093,0.8000,0.0000,0.7614,0.0000,0.0000
55,VE_18,VE_25,0.0000,0.5129,-1.0846,0.5061,-1.0424,0.5927,-0.4673,0.5297,-0.3973,0.5748,-0.5000,0.6250,0.0000,0.5071,0.0000,0.0000
56,VE_18,VE_26,0.0000,0.6611,-0.6355,0.6632,-0.6664,0.7254,-0.3712,0.9836,-0.5740,1.5401,-0.4333,0.7280,0.0000,0.5983,0.0000,0.0000
57,VE_18,VE_27,0.0000,0.0000,-1.7114,-0.0300,-1.8683,0.0769,-0.8807,-0.0002,-0.9241,0.0010,-0.7622,0.0374,0.0000,0.0000,0.0000,0.0000
58,VE_18,VE_28,0.0000,0.7656,-0.8595,0.8046,-0.7491,0.7866,-0.2397,0.7254,-0.3543,0.3923,-0.1474,0.7931,0.0000,0.7893,0.0000,0.0000
59,VE_18,VE_29,0.0000,0.5000,-1.2961,0.5650,-1.2722,0.5668,-0.5317,0.3443,-0.7079,0.0296,-0.6119,0.5443,0.0000,0.5000,0.0000,0.0000
60,VE_18,VE_30,0.0000,0.8009,-0.8536,0.8625,-0.8925,0.8913,-0.2494,0.8105,-0.4456,0.4433,-0.1887,0.9037,0.0000,0.8122,0.0000,0.0000
61,VE_18,VE_31,0.0000,0.5000,-0.7027,0.5006,-0.8730,0.6040,-0.5500,0.4187,-0.5313,0.3038,-0.4892,0.5701,0.0000,0.5000,0.0000,0.0000
62,VE_18,VE_32,0.0000,0.0410,-1.3944,0.0994,-1.3124,0.1481,-0.6253,-0.1378,-0.6645,-0.0299,-0.7536,0.1595,0.0000,0.0410,0.0000,0.0000
63,VE_19,VE_20,0.0000,0.4924,-1.4181,0.3143,-1.5383,0.1729,-0.4391,0.3094,-0.9163,0.0832,-0.9106,-0.0161,0.0000,0.4924,0.0000,0.0000
64,VE_19,VE_21,0.0000,0.4107,-1.0857,0.3942,-1.0663,0.4532,-0.4926,0.1303,-0.8272,0.0999,-1.0412,0.0909,0.0000,0.4107,0.0000,0.0000
65,VE_19,VE_22,0.0000,0.3683,-0.7797,0.3810,-0.6881,0.4120,-0.5537,0.1027,-0.4091,0.1863,-0.7660,0.2448,0.0000,0.3683,0.0000,0.0000
66,VE_19,VE_23,0.0000,0.5000,-0.1589,0.2593,-0.5649,0.2467,-0.2255,0.1414,-0.3121,0.3208,-0.5502,0.3762,0.0000,0.5000,0.0000,0.0000
67,VE_19,VE_24,0.0000,0.4431,-1.0379,0.4103,-0.9755,0.4350,-0.5589,0.3652,-0.5545,0.5457,-0.8791,0.4930,0.0000,0.4294,0.0000,0.0000
68,VE_19,VE_25,0.0000,0.6831,0.0575,0.7200,-0.2210,0.7651,-0.2722,0.5246,-0.1917,0.7602,-0.9817,0.7764,0.0000,0.6954,0.0000,0.0000
69,VE_19,VE_26,0.0000,0.5000,-0.8860,0.2509,-0.7958,0.2408,-0.5713,0.2808,-0.4397,0.4106,-0.8274,0.0069,0.0000,0.5000,0.0000,0.0000
