(1)Parameters in simulations

  SmplSize   NumLoci Constrain KnownAlleleFre
        18         9         1         0

 Number of observed alleles at each locus
  3  4  2  3  3  4  3  2  2

 Allele frequency

 Locus:        1
     127     121     125
  0.8056  0.1667  0.0278

 Locus:        2
     288     286     290     274
  0.7500  0.0833  0.0278  0.1389

 Locus: 3
227 229
0.4722 0.5278

 Locus:        4
     291     307     303
  0.2500  0.4167  0.3333

 Locus:        5
     166     172     160
  0.1111  0.6944  0.1944

 Locus:        6
     257     261     251     249
  0.3056  0.5833  0.0278  0.0833

 Locus:        7
     359     361     355
  0.7222  0.1944  0.0833

 Locus: 8
133 137
0.3333 0.6667

 Locus: 9
247 255
0.7778 0.2222


(2)Point estimate of R for each dyad

Pair,Ind1,Ind2,TrioEst,WEst,LLEst,LREst,REst,QGEst,MEst,LSEst
52,VE_18,VE_22,0.3308,0.3175,0.3890,0.1873,0.2237,0.5082,0.3595,0.0000
53,VE_18,VE_23,0.0901,-0.4248,-0.4256,-0.0622,-0.1696,-0.0640,0.1463,0.0000
54,VE_18,VE_24,0.0968,-0.0672,-0.0183,-0.0311,0.0140,0.2340,0.1139,0.0000
55,VE_18,VE_25,0.0558,-0.2712,-0.2220,-0.0343,0.0043,-0.0023,0.0649,0.0000
56,VE_18,VE_26,0.1784,0.1710,0.1853,0.5222,0.3946,0.2279,0.2571,0.0000
57,VE_18,VE_27,0.0000,-0.7616,-0.7311,-0.2235,-0.4123,-0.3617,0.0000,0.0000
58,VE_18,VE_28,0.1244,-0.0794,-0.0183,-0.0196,0.0446,0.2620,0.1373,0.0000
59,VE_18,VE_29,0.0000,-0.2478,-0.2220,-0.1898,-0.2845,-0.0667,0.0000,0.0000
60,VE_18,VE_30,0.1003,-0.0672,-0.0183,-0.0149,0.0388,0.2105,0.1139,0.0000
61,VE_18,VE_31,0.0000,0.0164,0.0835,-0.0219,-0.0009,0.1220,0.0000,0.0000
62,VE_18,VE_32,0.0000,-0.6327,-0.5275,-0.3311,-0.3167,-0.3671,0.0000,0.0000
63,VE_19,VE_20,0.0164,-0.5053,-0.6293,-0.1629,-0.3285,-0.5652,0.0164,0.0000
64,VE_19,VE_21,0.0000,-0.2532,-0.3238,-0.1969,-0.3002,-0.5000,0.0000,0.0000
65,VE_19,VE_22,0.0000,-0.1067,-0.1201,-0.2474,-0.1513,-0.2960,0.0000,0.0000
66,VE_19,VE_23,0.0000,0.0511,-0.1201,-0.0474,-0.0016,0.0069,0.0000,0.0000
67,VE_19,VE_24,0.0000,-0.3400,-0.2220,-0.1622,-0.0077,-0.1726,0.0000,0.0000
68,VE_19,VE_25,0.1374,0.3511,0.2872,0.0908,0.2729,0.4286,0.2132,0.0000
69,VE_19,VE_26,0.0000,-0.2235,-0.2220,-0.1155,-0.0818,-0.4008,0.0000,0.0000
70,VE_19,VE_27,0.0000,-0.3622,-0.5275,-0.1294,-0.4219,-0.5244,0.0000,0.0000
71,VE_19,VE_28,0.0000,-0.1562,-0.1201,-0.0615,0.0870,-0.0031,0.0000,0.0000
72,VE_19,VE_29,0.0167,-0.2355,-0.1201,-0.0861,0.0390,-0.1211,0.1360,0.0000
73,VE_19,VE_30,0.0000,-0.2425,-0.2220,-0.0601,-0.1296,-0.1647,0.0000,0.0000
74,VE_19,VE_31,0.0000,-0.0512,-0.2220,-0.2426,-0.3507,-0.4229,0.0000,0.0000
75,VE_19,VE_32,0.0000,0.1411,-0.1201,-0.1652,-0.1307,-0.2600,0.0000,0.0000
76,VE_20,VE_21,0.1296,0.1092,0.0835,0.0575,0.2353,0.0735,0.1834,0.0000
77,VE_20,VE_22,0.0500,0.1682,0.0835,0.0815,0.0218,0.1064,0.1446,0.0000
78,VE_20,VE_23,0.0000,-0.8825,-1.0366,-0.3762,-0.5630,-0.7888,0.0000,0.0000
79,VE_20,VE_24,0.0000,-0.2389,-0.2220,-0.1433,-0.1940,-0.1681,0.0000,0.0000
80,VE_20,VE_25,0.0000,-0.4715,-0.6293,-0.2192,-0.3869,-0.4524,0.0000,0.0000
81,VE_20,VE_26,0.0000,-0.1097,-0.1201,-0.0258,-0.0675,-0.2457,0.1997,0.0000
82,VE_20,VE_27,0.2456,-0.0045,-0.0183,0.3697,0.6083,0.0442,0.2767,0.0000
83,VE_20,VE_28,0.0000,-0.3990,-0.4256,-0.1582,-0.2969,-0.2169,0.0000,0.0000
84,VE_20,VE_29,0.1020,-0.1130,-0.1201,0.0038,-0.0759,-0.1215,0.1395,0.0000
85,VE_20,VE_30,0.2043,-0.0858,-0.0183,0.0790,0.2202,0.2258,0.3208,0.0000
86,VE_20,VE_31,0.4012,0.3333,0.3890,0.3349,0.4853,0.3684,0.4956,0.0000
87,VE_20,VE_32,0.0000,-0.3416,-0.5275,-0.3073,-0.3286,-0.7069,0.0000,0.0000
88,VE_21,VE_22,0.0000,0.0686,0.0835,-0.2542,-0.1956,-0.1707,0.0000,0.0000
